Time,Filt_X,Filt_Y,Filt_Z
1779986226.913,1.9415,0.7327,2.0055
1779986227.014,1.8438,0.8573,2.0663
1779986227.115,1.8736,0.9678,2.1530
1779986227.213,1.7666,1.0841,2.1359
1779986227.313,1.6193,1.1690,2.1385
1779986227.413,1.4894,1.2640,2.1178
1779986227.513,1.3569,1.3455,2.1207
1779986227.614,1.2329,1.4242,2.1216
1779986227.722,1.1530,1.4779,2.1016
1779986227.814,1.0001,1.5513,2.0660
1779986227.913,0.8635,1.5966,2.0577
1779986228.013,0.7231,1.6273,2.0487
1779986228.114,0.5905,1.6388,2.0726
1779986228.214,0.4516,1.6467,2.0706
1779986228.314,0.3613,1.6794,2.0432
1779986228.413,0.2237,1.6768,2.0515
1779986228.514,0.0914,1.6495,2.0359
1779986228.614,-0.0310,1.6257,2.0229
1779986228.714,-0.1512,1.5952,1.9847
1779986228.813,-0.2875,1.5637,1.9625
1779986228.914,-0.4442,1.5324,1.9612
1779986229.014,-0.5803,1.5015,1.9758
1779986229.114,-0.6863,1.4627,1.9435
1779986229.214,-0.7856,1.3888,1.9168
1779986229.313,-0.9089,1.2908,1.8999
1779986229.414,-1.0464,1.1716,1.9608
1779986229.514,-1.1537,1.0402,1.9688
1779986229.613,-1.2622,0.9155,1.9450
1779986229.722,-1.3630,0.7849,1.9009
1779986229.814,-1.4291,0.6535,1.8688
1779986229.914,-1.5209,0.4890,1.9296
1779986230.014,-1.5777,0.3341,1.9178
1779986230.114,-1.5851,0.1738,1.9922
1779986230.217,-1.6322,0.0211,2.0244
1779986230.313,-1.6228,-0.1130,2.0429
1779986230.413,-1.5928,-0.2512,2.0219
1779986230.513,-1.4844,-0.3906,2.0173
1779986230.613,-1.3763,-0.5137,2.0476
1779986230.714,-1.3121,-0.6498,2.1267
1779986230.814,-1.1843,-0.7560,2.2062
1779986230.914,-1.0507,-0.8720,2.1841
1779986231.014,-0.9588,-0.9991,2.1302
1779986231.114,-0.8605,-1.0956,2.1444
1779986231.214,-0.7190,-1.1685,2.1502
1779986231.313,-0.6096,-1.2616,2.1321
1779986231.425,-0.4665,-1.3101,2.1437
1779986231.513,-0.2826,-1.3571,2.1089
1779986231.613,-0.1401,-1.3714,2.1069
1779986231.713,-0.0080,-1.3707,2.1002
1779986231.814,0.1551,-1.3676,2.0846
1779986231.913,0.2754,-1.3401,2.0519
