Time,Filt_X,Filt_Y,Filt_Z
1780084670.299,4.6121,3.3228,1.7478
1780084670.377,4.6131,3.3333,1.7564
1780084670.379,4.6077,3.3403,1.7604
1780084670.477,4.6037,3.3477,1.7735
1780084670.479,4.6009,3.3521,1.7758
1780084670.577,4.5955,3.3571,1.7633
1780084670.579,4.5795,3.3571,1.7551
1780084670.676,4.5660,3.3634,1.7803
1780084670.689,4.5563,3.3692,1.7971
1780084670.777,4.5474,3.3745,1.7892
1780084670.780,4.5459,3.3772,1.7849
1780084670.878,4.5457,3.3810,1.7647
1780084670.881,4.5489,3.3828,1.7469
1780084670.978,4.5489,3.3838,1.7345
1780084671.015,4.5492,3.3815,1.7249
1780084671.077,4.5465,3.3797,1.7175
1780084671.080,4.5477,3.3785,1.7136
1780084671.177,4.5456,3.3807,1.7070
1780084671.179,4.5471,3.3844,1.7057
1780084671.277,4.5507,3.3804,1.6966
1780084671.293,4.5403,3.3754,1.6957
1780084671.377,4.5294,3.3763,1.7158
1780084671.380,4.5282,3.3793,1.7297
1780084671.477,4.5559,3.3464,1.7289
1780084671.479,4.5776,3.3246,1.7302
1780084671.577,4.5866,3.3214,1.7181
1780084671.580,4.5934,3.3208,1.7142
1780084671.683,4.5903,3.3273,1.7049
1780084671.712,4.5876,3.3319,1.7012
1780084671.776,4.5826,3.3378,1.6918
1780084671.778,4.5843,3.3440,1.6817
1780084671.877,4.5827,3.3534,1.6788
1780084671.879,4.5816,3.3587,1.6797
1780084671.977,4.5805,3.3639,1.6779
1780084671.991,4.5824,3.3665,1.6728
1780084672.077,4.5780,3.3705,1.6686
1780084672.080,4.5677,3.3697,1.6649
1780084672.177,4.5589,3.3687,1.6610
1780084672.179,4.5569,3.3654,1.6582
1780084672.277,4.5563,3.3634,1.6563
1780084672.279,4.5539,3.3597,1.6576
1780084672.385,4.5529,3.3576,1.6588
1780084672.415,4.5532,3.3602,1.6900
1780084672.477,4.5558,3.3607,1.7040
1780084672.479,4.5600,3.3636,1.7102
1780084672.577,4.5626,3.3654,1.7030
1780084672.581,4.5615,3.3663,1.6995
1780084672.677,4.5580,3.3641,1.6962
1780084672.695,4.5534,3.3652,1.6959
