Time,Filt_X,Filt_Y,Filt_Z
1776442264.523,0.2467,-0.1112,0.5580
1776442264.659,0.2729,-0.0369,0.5867
1776442264.724,0.2999,0.0416,0.5990
1776442264.824,0.3231,0.1224,0.6059
1776442264.968,0.3484,0.2044,0.6051
1776442265.022,0.3929,0.2871,0.5996
1776442265.127,0.4179,0.3701,0.6047
1776442265.225,0.4489,0.4442,0.5941
1776442265.325,0.4835,0.5173,0.5917
1776442265.440,0.5071,0.5941,0.5899
1776442265.523,0.5462,0.6643,0.6019
1776442265.624,0.5726,0.7304,0.6044
1776442265.751,0.6134,0.7896,0.6057
1776442265.824,0.6541,0.8401,0.6106
1776442265.923,0.6725,0.8766,0.6133
1776442266.060,0.7174,0.9134,0.6147
1776442266.126,0.7606,0.9462,0.6108
1776442266.226,0.7805,0.9722,0.6083
1776442266.380,0.7997,0.9942,0.6110
1776442266.423,0.8452,1.0183,0.6125
1776442266.533,0.8976,1.0261,0.6443
1776442266.625,0.9321,1.0552,0.6278
1776442266.724,0.9867,1.0884,0.6087
1776442266.843,1.0401,1.1109,0.6103
1776442266.925,1.0528,1.1135,0.5979
1776442267.023,1.0453,1.0911,0.5815
1776442267.155,1.0435,1.0447,0.5493
1776442267.225,1.0143,0.9797,0.5078
1776442267.325,0.9775,0.9038,0.4696
1776442267.467,0.9319,0.8217,0.4291
1776442267.525,0.8991,0.7362,0.4051
1776442267.628,0.8654,0.6535,0.3957
1776442267.723,0.8401,0.5639,0.3906
1776442267.824,0.8156,0.4661,0.3748
1776442267.944,0.8096,0.3635,0.3614
1776442268.023,0.7615,0.2540,0.3672
1776442268.125,0.7546,0.1540,0.3757
1776442268.262,0.7595,0.0599,0.3902
1776442268.324,0.7715,-0.0303,0.4216
1776442268.423,0.7833,-0.1135,0.4586
1776442268.572,0.7816,-0.1835,0.4989
1776442268.624,0.7717,-0.2498,0.5321
1776442268.728,0.7481,-0.3228,0.5564
1776442268.873,0.7161,-0.3952,0.5663
1776442268.925,0.7058,-0.4761,0.5720
1776442269.025,0.7088,-0.5577,0.5706
1776442269.175,0.7109,-0.6439,0.5606
1776442269.225,0.6990,-0.7152,0.5631
1776442269.336,0.6877,-0.7818,0.5644
1776442269.423,0.6589,-0.8456,0.5605
1776442269.523,0.6107,-0.8943,0.5491
1776442269.666,0.5510,-0.9206,0.5332
1776442269.724,0.4977,-0.9424,0.5190
1776442269.828,0.4619,-0.9616,0.5237
1776442269.977,0.4589,-0.9883,0.5488
1776442270.023,0.4758,-1.0062,0.5816
1776442270.134,0.4779,-1.0591,0.5703
1776442270.223,0.4578,-1.1108,0.5499
1776442270.326,0.4329,-1.1353,0.5507
1776442270.451,0.4142,-1.1521,0.5423
1776442270.526,0.3992,-1.1423,0.5372
1776442270.624,0.3776,-1.1210,0.5296
1776442270.759,0.3608,-1.0841,0.5339
1776442270.823,0.3604,-1.0247,0.5232
1776442270.924,0.3653,-0.9520,0.5079
1776442271.074,0.3689,-0.8762,0.4810
1776442271.124,0.3762,-0.7943,0.4559
1776442271.235,0.3811,-0.7091,0.4366
1776442271.323,0.3135,-0.6312,0.4697
1776442271.423,0.2110,-0.5580,0.5165
1776442271.632,0.2032,-0.4302,0.5095
1776442271.926,0.1994,-0.2341,0.4830
1776442272.125,0.0428,-0.0729,0.4981
1776442272.243,-0.0197,0.0711,0.4940
1776442272.324,-0.0604,0.1999,0.4916
1776442272.427,-0.0346,0.3280,0.4591
1776442272.586,-0.0086,0.4376,0.4218
1776442272.623,-0.0270,0.5137,0.4217
1776442272.765,-0.0948,0.5694,0.4264
1776442272.825,-0.1877,0.6173,0.4295
1776442272.945,-0.2869,0.6650,0.4272
1776442273.023,-0.3318,0.7170,0.4394
1776442273.124,-0.3616,0.7718,0.4513
1776442273.281,-0.3732,0.8239,0.4631
1776442273.323,-0.3874,0.8744,0.4658
1776442273.441,-0.4031,0.9195,0.4498
1776442273.525,-0.4198,0.9526,0.4312
1776442273.624,-0.4373,0.9786,0.4467
1776442273.771,-0.4419,1.0003,0.4651
1776442273.823,-0.4211,1.0107,0.4851
1776442273.925,-0.4294,1.0144,0.4883
1776442274.078,-0.4333,1.0143,0.4768
1776442274.124,-0.4568,1.0077,0.4565
1776442274.233,-0.4878,0.9928,0.4442
1776442274.324,-0.5321,0.9776,0.4369
1776442274.423,-0.5578,0.9535,0.4236
1776442274.556,-0.6121,0.9199,0.4024
1776442274.624,-0.7014,0.8851,0.3854
1776442274.728,-0.8827,0.8410,0.3709
1776442274.825,-1.0705,0.7959,0.3669
1776442274.925,-1.2215,0.7460,0.3736
1776442275.040,-1.3321,0.6890,0.3780
1776442275.124,-1.4046,0.6147,0.3853
1776442275.225,-1.4629,0.5345,0.3899
1776442275.362,-1.4860,0.4511,0.3973
1776442275.423,-1.4745,0.3616,0.4019
1776442275.530,-1.4735,0.2731,0.4047
1776442275.625,-1.4613,0.1855,0.4109
1776442275.724,-1.4426,0.0987,0.4236
1776442275.839,-1.4070,0.0126,0.4402
1776442275.925,-1.3747,-0.0774,0.4545
1776442276.024,-1.3358,-0.1650,0.4587
1776442276.165,-1.2887,-0.2555,0.4521
1776442276.224,-1.2593,-0.3476,0.4436
1776442276.325,-1.2363,-0.4450,0.4250
1776442276.477,-1.2084,-0.5453,0.4049
1776442276.524,-1.2000,-0.6340,0.3928
1776442276.639,-1.1857,-0.6889,0.4122
1776442276.723,-1.1635,-0.7588,0.4018
1776442276.826,-1.1321,-0.8245,0.3912
1776442276.953,-1.0909,-0.8699,0.3804
1776442277.023,-1.0261,-0.8986,0.3740
1776442277.126,-0.9518,-0.9218,0.3748
1776442277.265,-0.8497,-0.9462,0.3621
1776442277.324,-0.7577,-0.9627,0.3767
1776442277.426,-0.7033,-0.9789,0.4168
1776442277.589,-0.6363,-1.0129,0.4544
1776442277.623,-0.6284,-1.0177,0.4415
1776442277.744,-0.6163,-1.0184,0.4247
1776442277.825,-0.6193,-1.0124,0.4144
1776442277.927,-0.5959,-1.0113,0.4037
1776442278.080,-0.5697,-1.0089,0.3884
1776442278.124,-0.5196,-0.9837,0.3925
1776442278.239,-0.4507,-0.9582,0.4083
1776442278.323,-0.3883,-0.9283,0.4135
1776442278.426,-0.3167,-0.8871,0.4078
1776442278.552,-0.2352,-0.8304,0.3910
1776442278.626,-0.1389,-0.7690,0.3720
1776442278.723,-0.0917,-0.7139,0.3783
1776442278.858,-0.0565,-0.6541,0.4001
1776442278.925,-0.0241,-0.5826,0.4310
1776442279.026,0.0066,-0.5000,0.4630
1776442279.171,0.0408,-0.4198,0.4955
1776442279.223,0.0816,-0.3413,0.5104
1776442279.334,0.1265,-0.2596,0.5324
1776442279.423,0.1737,-0.1763,0.5497
1776442279.523,0.2269,-0.1009,0.5730
1776442279.646,0.2525,-0.0262,0.5999
1776442279.724,0.2792,0.0524,0.6157
1776442279.824,0.3022,0.1333,0.6290
1776442279.956,0.3453,0.2198,0.6320
1776442280.024,0.4138,0.3007,0.6199
1776442280.125,0.4577,0.3781,0.6077
1776442280.270,0.4910,0.4532,0.5998
1776442280.324,0.5403,0.5269,0.5991
1776442280.426,0.5813,0.5997,0.6029
1776442280.582,0.6041,0.6674,0.6048
1776442280.624,0.6070,0.7276,0.6102
1776442280.732,0.6024,0.7832,0.6220
1776442280.823,0.6023,0.8271,0.6289
1776442280.924,0.6584,0.8730,0.6372
1776442281.047,0.6908,0.9067,0.6375
1776442281.124,0.7443,0.9421,0.6329
1776442281.223,0.7883,0.9697,0.6255
1776442281.355,0.8265,0.9971,0.6163
1776442281.422,0.8479,1.0378,0.5840
1776442281.524,0.8902,1.0422,0.5954
1776442281.670,0.9141,1.0559,0.5801
1776442281.723,0.8647,1.0621,0.5887
1776442281.830,0.8422,1.0549,0.5982
1776442281.924,0.8540,1.0354,0.5863
1776442282.025,0.8734,1.0042,0.5657
1776442282.141,0.8885,0.9573,0.5488
1776442282.224,0.8965,0.9012,0.5388
1776442282.323,0.9004,0.8353,0.5151
1776442282.451,0.8974,0.7639,0.4877
1776442282.523,0.8946,0.6807,0.4714
1776442282.626,0.9055,0.5860,0.4530
1776442282.762,0.9114,0.4894,0.4290
1776442282.823,0.9053,0.3962,0.4149
1776442282.924,0.8966,0.3056,0.4069
1776442283.077,0.8863,0.2078,0.4159
1776442283.125,0.8840,0.1104,0.4263
1776442283.231,0.8778,0.0180,0.4418
1776442283.326,0.8781,-0.0668,0.4692
1776442283.424,0.8691,-0.1423,0.5037
1776442283.542,0.8456,-0.2122,0.5335
1776442283.624,0.8179,-0.2873,0.5603
1776442283.723,0.8100,-0.3656,0.5764
1776442283.852,0.7874,-0.4457,0.5813
1776442283.926,0.7561,-0.5180,0.5707
1776442284.025,0.7241,-0.5943,0.5419
1776442284.173,0.6961,-0.6640,0.5243
1776442284.225,0.6707,-0.7254,0.5136
1776442284.328,0.6602,-0.7817,0.5160
1776442284.424,0.6410,-0.8349,0.5175
1776442284.525,0.6122,-0.8774,0.5095
1776442284.647,0.5599,-0.9090,0.4959
1776442284.725,0.5067,-0.9342,0.4966
1776442284.822,0.4843,-0.9600,0.5104
1776442284.956,0.4894,-0.9863,0.5410
1776442285.025,0.4934,-1.0087,0.5728
1776442285.123,0.4877,-1.0597,0.5652
1776442285.273,0.4673,-1.0972,0.5605
1776442285.323,0.4467,-1.1130,0.5663
1776442285.430,0.4262,-1.1204,0.5741
1776442285.523,0.4101,-1.1139,0.5654
1776442285.625,0.4012,-1.0948,0.5511
1776442285.749,0.3787,-1.0593,0.5423
1776442285.824,0.3793,-1.0008,0.5281
1776442285.926,0.3715,-0.9377,0.5107
1776442286.063,0.3896,-0.8632,0.4824
1776442286.124,0.4190,-0.7778,0.4611
1776442286.225,0.4195,-0.6950,0.4529
1776442286.374,0.3491,-0.6185,0.4881
1776442286.423,0.2449,-0.5418,0.5363
1776442286.531,0.2403,-0.4474,0.5344
1776442287.026,0.1631,-0.2316,0.4799
1776442287.224,0.0508,-0.0317,0.4603
1776442287.354,0.0553,0.1445,0.4354
